Designator,Mid X,Mid Y,Layer,Rotation
ADC_BAT,17.98,-1.91,Top,180.0
C1,15.19,-5.03,Top,90.0
C2,14.15,-5.03,Top,90.0
C3,11.89,-1.14,Top,90.0
C4, 8.20,-5.54,Top,180.0
C5,18.16,-5.08,Top,270.0
C6,11.89, 1.07,Top,90.0
C7,14.53, 0.30,Top,90.0
CHARGER, 9.27, 1.27,Top,0.0
CHARGING,12.32, 5.08,Top,90.0
D2, 8.89, 3.94,Top,180.0
D3,13.21,-0.53,Top,90.0
J1, 4.45, 0.00,Top,90.0
LDO,10.77,-5.26,Top,270.0
LED,15.88, 5.08,Top,90.0
Q1, 8.51,-1.57,Top,180.0
R1,15.60, 0.30,Top,270.0
R2,17.02,-5.08,Top,270.0
R3,14.61, 5.08,Top,270.0
R4,13.11,-5.03,Top,90.0
R5,16.66, 0.30,Top,90.0
R6, 5.49, 6.17,Top,180.0
R7, 7.14,-3.07,Top,0.0
R8, 1.27,-6.29,Top,0.0
R9, 2.67, 6.29,Top,0.0
R10,11.00, 5.08,Top,270.0
R11,13.46, 5.08,Top,270.0
R14, 7.19,-1.52,Top,90.0
FLASH, 3.18, 6.29,Bottom,0.0
IC1,14.29, 0.00,Bottom,90.0
J2, 0.00, 0.00,Bottom,90.0
RESET, 3.18,-6.29,Bottom,0.0
