Designator,Mid X,Mid Y,Layer,Rotation
C1, 8.30, 4.60,Top,90.0
C2, 9.82, 4.60,Top,90.0
C3, 6.83, 8.00,Top,90.0
C4,11.33, 4.60,Top,90.0
C5,21.88, 4.46,Top,90.0
C6,14.90,11.48,Top,90.0
CHARGER,10.10,11.51,Top,180.0
CHARGING, 9.30,14.33,Top,270.0
D1, 6.54, 3.62,Top,270.0
LDO,10.00, 7.90,Top,180.0
Q1,20.88,11.00,Top,90.0
R1,23.17, 4.50,Top,90.0
R2,18.29, 4.20,Top,270.0
R3,13.85,14.05,Top,90.0
R4,15.56,14.03,Top,90.0
R5,11.01,14.08,Top,270.0
R6,20.86, 6.30,Top,90.0
R7,19.28, 6.30,Top,270.0
R8,16.68, 4.20,Top,270.0
R9,22.71,11.00,Top,270.0
R10, 8.00,14.00,Top,90.0
R11,13.13,11.63,Top,90.0
R12,19.00,14.03,Top,270.0
R13,17.26,14.03,Top,270.0
R14,19.02,11.00,Top,90.0
RESET,12.65, 0.62,Top,0.0
